Topic Category,PDF,Text
number of times expulsion or synonyms is mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"Education Code 37.009(e) If, during the term of placement, a student engages in additional conduct for which placement in a DAEP or expulsion is required or permitted, additional proceedings may be conducted and the prin- cipal or board, as appropriate, may enter an additional order."
number of times transfer or referral to juvenile justice program is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Education Code 37.007(e)(2), (h) A person who is 21 years of age or older and is admitted by a dis- trict for the purpose of completing the requirements for a diploma is not eligible for placement in a juvenile justice alternative education program (JJAEP) if the person engages in conduct that would re- quire or authorize such placement for a student under the age of 21."
total number of drug or alcohol terms mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Commits a drug- or alcohol-related offense described at Edu- cation Code 37.006(a)(2)(C), if that conduct is punishable as a felony; 4."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"The student must be expelled from the student’s regular campus for a period of at least one year, except that the superin- tendent may modify in writing the length of expulsion in the case of an individual student."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,A district or other local educational agency shall provide educa- tional services to an expelled student in a DAEP if the student is younger than 10 years of age on the date of expulsion.
total number of drug or alcohol terms mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Marijuana or a controlled substance, as defined by Chapter 481, Health and Safety Code, or by 21 U.S.C."
total number of drug or alcohol terms mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"A dangerous drug, as defined by Chapter 483, Health and Safety Code; or c. An alcoholic beverage, as defined by Section 1.04, Alco- holic Beverage Code."
number of times transfer or referral to juvenile justice program is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"If the student is expelled, a board or its designee shall refer the student to the authorized officer of the juvenile court for appropriate proceedings under Family Code Title 3 (Juvenile Justice Code)."
total number of disciplinary terms mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Following the conference, and whether or not each requested per- son is in attendance after valid attempts to require the person’s at- tendance, the CBC, after considering any mitigating factors under Education Code 37.001(a)(4) [see FO], shall order the placement of the student for a period consistent with the Student Code of Conduct."
total number of disciplinary terms mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Education Code 37.009(a) [See Student Code of Conduct] Before a student may be expelled, a board or its designee shall provide the student a hearing at which the student is afforded ap- propriate due process as required by the federal constitution and which the student’s parent or guardian is invited, in writing, to at- tend."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"The notice should contain a statement of the specific charges and grounds that, if proven, would justify expulsion."
total number of disciplinary terms mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"[See Student Code of Conduct, item 4, at FO(LE- GAL) for additional mitigating factors.]"
total number of disciplinary terms mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Education Code 37.009(f) If the period of expulsion is inconsistent with the guidelines on length of expulsion in the Student Code of Conduct, the order must give notice of the inconsistency."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,The period of expulsion may not exceed one year unless a district determines that: 1.
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Af- ter such notification, the parent or guardian shall provide adequate supervision for the student during the period of expulsion."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Educa- tion Code 37.009(g)-(h) Not later than the second business day after the date an expulsion hearing is held, a board or its designee shall deliver a copy of the expulsion order and any information required under Family Code 52.04 to the authorized officer of the juvenile court in the county in which the student resides."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Education Code 37.007(g) If a student withdraws from a district before an order for expulsion is entered, the principal or board, as appropriate, may complete the proceedings and enter an order."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"If the student subsequently enrolls in the district during the same or subsequent school year, the dis- trict may enforce the order at that time except for any period of the expulsion that has been served by the student in another district that honored the order."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Ed- ucation Code 37.009(i) If, during the term of expulsion, a student engages in additional conduct for which placement in a DAEP or expulsion is required or permitted, additional proceedings may be conducted and the prin- cipal or board, as appropriate, may enter an additional order."
number of times transfer or referral to juvenile justice program is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"denied, 368 U.S. 930 (1961) A court may not order an expelled student to attend a regular classroom, a regular campus, or a district DAEP as a condition of probation."
number of times transfer or referral to juvenile justice program is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"A court may order a student to attend a regular classroom, a regu- lar campus, or a district DAEP if the district has entered into a memorandum of understanding (MOU) with the juvenile board for the county in which the district’s central administrative office is lo- cated, concerning the juvenile probation department’s role in su- pervising and providing other support services for students in DAEPs."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Education Code 37.010(c) In a county that operates a JJAEP, a district is responsible for pro- viding an immediate educational program to a student who en- gages in behavior for which expulsion is permitted but not required under Education Code 37.007, but who is not eligible for admission into the JJAEP in accordance with an MOU."
number of times transfer or referral to juvenile justice program is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"After an expelled student has successfully completed any court disposition requirements, including conditions of a deferred prose- cution, or conditions required by the prosecutor or probation de- partment, a district may not refuse to admit the student if the stu- dent meets the requirements for admission."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Education Code 37.010(f) If a student has been expelled from another school district, the ex- pelling district shall provide to a district in which the student enrolls a copy of the expulsion order and the referral to the authorized offi- cer of the juvenile court."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"A district in which the student enrolls may continue the expulsion under the terms of the order, may place the student in a DAEP for the period specified by the expulsion order, or may allow the student to attend regular classes without complet- ing the period of expulsion."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,The out-of-state district provides a copy of the expulsion or- der; and 2.
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,The grounds for the expulsion are also grounds for expulsion in the district in which the student is enrolling.
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,Education Code 37.010(g-1) Note:See FOF for provisions concerning expulsion of students with disabilities.
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,The principal or other appropriate administrator may place a stu- dent who has been expelled under Education Code 37.007 or 37.0081 in a virtual expulsion program established by the district and provide virtual instruction and instructional materials for remote learning to the student only if: 1.
total number of disciplinary terms mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"A school district must ensure that, to the extent practicable in a vir- tual setting, the district's virtual expulsion program complies with the requirements for a disciplinary alternative education program under Education Code 37.008."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"[See FOC] If the principal or other appropriate administrator places a student in a virtual expulsion program under this section, the school district shall ensure that the student has suitable computer equipment and internet access and provide the computer equipment and internet access if necessary."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,The principal or other appropriate administrator shall review the placement of a student in a virtual expulsion program at least once every 45 school days after the date the placement begins to deter- mine if continued placement in the program is appropriate.
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,A student placed in a virtual expulsion program shall be counted toward the district's average daily attendance for purposes of re- ceipt of state funds under the Foundation School Program if the district can confirm the student's daily attendance in the virtual ex- pulsion program.
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,A district may not require a teacher who provides virtual instruction to students in a virtual expulsion program to provide virtual instruc- tion and in-class instruction for a course during the same class pe- riod.
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,A teacher may not provide instruction for a virtual expulsion program course unless the teacher has completed a professional development course on virtual instruction.
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,The commissioner of education shall adopt rules requiring districts to provide basic professional development training for teachers providing instruction in a virtual expulsion program.
total number of drug or alcohol terms mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,104.35(a) A district may take disciplinary action pertaining to the use or pos- session of illegal drugs or alcohol against any student with a dis- ability who is currently engaging in the illegal use of drugs or in the use of alcohol to the same extent that the district would take disci- plinary action against nondisabled students.
total number of disciplinary terms mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,Any disciplinary action regarding the student shall be deter- mined in accordance with federal law and regulations.
total number of disciplinary terms mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,"Education Code 37.004(a)-(b) The methods adopted in the Student Code of Conduct [see FO] for discipline management and for preventing and intervening in stu- dent discipline problems must provide that a student who is en- rolled in the special education program may not be disciplined in a manner that results in a change in the student's educational place- ment for bullying, harassment, or making hit lists until an ARD committee meeting has been held to review the conduct."
total number of disciplinary terms mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,Education Code 37.001(b-1) A student with a disability who receives special education services may not be placed in a disciplinary alternative education program (DAEP) solely for educational purposes.
total number of disciplinary terms mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,"Education Code 37.004(c)-(d) School personnel may remove a student with a disability who vio- lates a student code of conduct from his or her current placement to an appropriate interim alternative educational setting, another setting, or suspension, for not more than 10 consecutive school days, to the extent those alternatives are applied to children with- out disabilities."
number of times drug and alcohol use prevention programs are mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,"300.530(b)(1) After a student has been removed from his or her current place- ment for 10 school days in the same school year, during any sub- sequent removal of 10 consecutive school days or less, school per- sonnel, in consultation with at least one of the student’s teachers, shall determine the extent to which services are needed so as to enable the student to continue to participate in the general educa- tion curriculum, although in another setting, and to progress toward meeting the goals set out in the student’s individualized education program (IEP)."
total number of disciplinary terms mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,1415(k)(1)(H) Any disciplinary action that would constitute a change in placement may be taken only after the student’s ARD committee conducts a manifestation determination review.
total number of disciplinary terms mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,"Any disciplinary action regarding the student shall be determined in accordance with federal law and regulations, including laws or reg- ulations requiring the provision of functional behavioral assess- ments; positive behavioral interventions, strategies, and supports; behavioral intervention plans; and the manifestation determination review [see Manifestation Determination, below]."
total number of disciplinary terms mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,"Education Code 37.004(b) If a district takes a disciplinary action regarding a student with a disability who receives special education services that constitutes a change in placement under federal law, the district shall: 1."
total number of disciplinary terms mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,"Education Code 37.004(b-1) For purposes of disciplinary removal of a student with a disability, a change in placement occurs if a student is: 1."
number of times any other terms are mentioned that relate to disciplinary approaches to student drug and alcohol use,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,300.536 School personnel may consider any unique circumstances on a case-by-case basis when determining whether to order a change in placement for a student who violates a code of student conduct.
total number of disciplinary terms mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,"300.530(e) If the determination is that the student’s behavior was not a mani- festation of the student’s disability, school personnel may apply the relevant disciplinary procedures to the student in the same manner and for the same duration as for students without disabilities."
number of times expulsion or synonyms is mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,"300.530(c) In a county with a juvenile justice alternative education program (JJAEP) [see FODA], a district must invite the administrator of the JJAEP or the administrator’s designee to an ARD committee meet- ing convened to discuss the discretionary expulsion under Educa- tion Code 37.007 of a student with a disability."
number of times expulsion or synonyms is mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,"300.530(d)(1)-(2) For a student with a disability who was expelled under a discre- tionary expulsion under Education Code 37.007, an ARD commit- tee meeting must be convened to reconsider placement of the stu- dent in the JJAEP if the JJAEP provides written notice to the district of specific concerns that the student’s education or behav- ioral needs cannot be met in JJAEP."
total number of drug or alcohol terms mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,"Knowingly possesses or uses illegal drugs or sells or solicits the sale of a controlled substance while at school, on school premises, or at a school function under the jurisdiction of TEA or a school district; or 3."
total number of disciplinary terms mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,"If a district reports a crime, the district shall ensure that copies of the special education and disciplinary records of the student are trans- mitted for consideration by the appropriate authorities to whom the district reported the crime."
total number of disciplinary terms mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,300.535 [See FL] A student who has not been determined to be eligible for special education and related services and who has engaged in behavior that violated a code of student conduct may assert any of the pro- tections provided for in the IDEA if a district had knowledge that the student had a disability before the behavior that precipitated that disciplinary action occurred.
total number of disciplinary terms mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,"300.534(a) A district shall be deemed to have knowledge that a student has a disability if, before the behavior that precipitated the disciplinary ac- tion occurred: 1."
total number of disciplinary terms mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,"However, if a request is made for an evaluation during the time pe- riod in which the student is subjected to disciplinary measures, the evaluation shall be conducted in an expedited manner."
number of times suspension or synonyms are mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,"Until the evaluation is completed, the student shall remain in the educational placement determined by school authorities, which can include suspension or expulsion without educational services."
number of times police or school resource officers are mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,"Provides, as a school resource officer, a regular police pres- ence on a district campus under a memorandum of under- standing between the district and a local law enforcement agency."
number of times transfer or referral to juvenile justice program is mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,"Juvenile probation, detention, or corrections personnel; or 3."
total number of drug or alcohol terms mentioned,GKD_LOCAL_-_Community_Relations_Nonschool_Use_of_School_Facilities_LOCAL.pdf,"Abide by all laws and policies, including but not limited to those prohibiting the use, sale, or possession of alcoholic beverages, illegal drugs, and firearms and the use of tobacco products or e-cigarettes on school property."
total number of drug or alcohol terms mentioned,GRAA_LEGAL_-_State_and_Local_Governmental_Authorities_Law_Enforcement_Agencies_LEGAL.pdf,"The use, sale, or possession of a controlled substance, drug paraphernalia, or marijuana, as defined by Health and Safety Code 481."
total number of health or treatment terms mentioned,GRAA_LEGAL_-_State_and_Local_Governmental_Authorities_Law_Enforcement_Agencies_LEGAL.pdf,"The principal may designate a school employee, other than a school counselor, who is under the supervision of the principal to make the report."
total number of disciplinary terms mentioned,GRAA_LEGAL_-_State_and_Local_Governmental_Authorities_Law_Enforcement_Agencies_LEGAL.pdf,A person who takes any action under this provi- sion is immune from civil or criminal liability or disciplinary action resulting from that action.
number of times transfer or referral to juvenile justice program is mentioned,GRAA_LEGAL_-_State_and_Local_Governmental_Authorities_Law_Enforcement_Agencies_LEGAL.pdf,"Education Code 37.0151 As described below, representatives of the juvenile justice system shall provide notice to a district when: 1."
number of time transfer or referral to disciplinary alternative school is mentioned,GRAA_LEGAL_-_State_and_Local_Governmental_Authorities_Law_Enforcement_Agencies_LEGAL.pdf,"A student on parole, probation, or community supervision transfers into or reenrolls in a district [see Transfer Students, below]."
total number of drug or alcohol terms mentioned,GRAA_LEGAL_-_State_and_Local_Governmental_Authorities_Law_Enforcement_Agencies_LEGAL.pdf,"The unlawful use, sale, or possession of a controlled substance, drug paraphernalia, or marijuana, as defined by Health and Safety Code Chapter 481; and c. The unlawful possession of any of the weapons or de- vices listed in Penal Code 46.01(1)–(3), (5)–(7), (9)–(14), or (16), or a weapon listed as a prohibited weapon under Penal Code 46.05."
number of times arrest or synonyms are mentioned,GRAA_LEGAL_-_State_and_Local_Governmental_Authorities_Law_Enforcement_Agencies_LEGAL.pdf,"Code of Criminal Procedure 15.27(i) If a law enforcement agency arrests a person or refers a child to the juvenile board for an offense specified at Reportable Offenses, and the agency believes the person is enrolled as a student in a public school, the head of the agency or designee shall orally notify the superintendent or designee in the district in which the student is enrolled, or believed to be enrolled, of the arrest or referral."
number of times arrest or synonyms are mentioned,GRAA_LEGAL_-_State_and_Local_Governmental_Authorities_Law_Enforcement_Agencies_LEGAL.pdf,"The notice shall be provided within 24 hours after the arrest or referral is made or before the next school day, whichever is earlier."
number of times arrest or synonyms are mentioned,GRAA_LEGAL_-_State_and_Local_Governmental_Authorities_Law_Enforcement_Agencies_LEGAL.pdf,Both the oral and written notice shall contain sufficient details of the arrest or referral and the acts allegedly committed by the stu- dent to enable a superintendent or designee to determine whether there is a reasonable belief that the student has engaged in con- duct defined as a felony offense by the Penal Code or whether it is necessary to conduct a threat assessment or prepare a safety plan related to the student.
number of times transfer or referral to juvenile justice program is mentioned,GRAA_LEGAL_-_State_and_Local_Governmental_Authorities_Law_Enforcement_Agencies_LEGAL.pdf,"Code of Criminal Procedure 15.27(g); Education Code 37.006(h) If a juvenile justice agency has jurisdiction over a student who is arrested, referred, convicted, or adjudicated for a reportable of- fense and the student transfers from a school or is subsequently removed from a school and later returned to a school or district other than the one the student was enrolled in when the arrest, re- ferral, conviction, or adjudication occurred, the juvenile justice agency shall notify the superintendent or designee of the district to which the student transfers or is returned."
number of times transfer or referral to juvenile justice program is mentioned,GRAA_LEGAL_-_State_and_Local_Governmental_Authorities_Law_Enforcement_Agencies_LEGAL.pdf,"The juvenile justice agency shall provide notice of an arrest or re- ferral in a manner similar to that provided above, at Arrest."
number of time transfer or referral to disciplinary alternative school is mentioned,GRAA_LEGAL_-_State_and_Local_Governmental_Authorities_Law_Enforcement_Agencies_LEGAL.pdf,"In either case, notice shall be provided within 24 hours of learning of the student’s transfer or reenrollment, or before the next school day, whichever is earlier."
total number of disciplinary terms mentioned,BBE_LEGAL_-_Board_Members_Authority_LEGAL.pdf,"Education Code 11.1512(g) A local officer, including a school board member, may not be sub- ject to disciplinary action or a sanction, penalty, disability, or liability for: 1."
total number of drug or alcohol terms mentioned,BJCF_LOCAL_-_Superintendent_Nonrenewal_LOCAL.pdf,"Drunkenness or excessive use of alcoholic beverages; or possession, use, or being under the influence of alcohol or al- coholic b everages while on District property, while working in the scope of the employee ’s duties, or while attending any school - or District -sponsored activity."
total number of drug or alcohol terms mentioned,BJCF_LOCAL_-_Superintendent_Nonrenewal_LOCAL.pdf,"The illegal possession, use, manufacture, or distribution of a controlled substance, a drug, a dangerou s drug, hallucino- gens, or other substances regulated by state statutes."
number of times arrest or synonyms are mentioned,BJCF_LOCAL_-_Superintendent_Nonrenewal_LOCAL.pdf,"Failure to report to the Board any arrest, indictment, convic- tion, no contest or guilty plea, or other adjudication fo r any fel- ony, any crime involving moral turpitude, or other offense listed at DH(LOCAL)."
number of times transfer or referral to recovery schools are mentioned,BQ_LEGAL_-_Planning_and_Decision-Making_Process_LEGAL.pdf,Education Code 11.251(a) Each district participating in a shared services arrangement for dis- ciplinary alternative education program (DAEP) services shall be responsible for ensuring that the board-approved district improve- ment plan and the improvement plans for each campus include the performance of the DAEP student group for the respective district.
number of times restorative justice approaches or synonyms are mentioned,BQ_LEGAL_-_Planning_and_Decision-Making_Process_LEGAL.pdf,"b. Evidence-based practices that address the needs of stu- dents for special programs, including: (1) Suicide prevention programs, in accordance with Education Code Chapter 38, Subchapter G, which include a parental or guardian notification proce- dure [see FFEB]; (2) Conflict resolution programs; (3) Violence prevention programs; and (4) Dyslexia treatment programs."
number of times trauma-informed care or synonyms are mentioned,BQ_LEGAL_-_Planning_and_Decision-Making_Process_LEGAL.pdf,"e. Positive behavior interventions and support, including in- terventions and support that integrate best practices on grief-informed and trauma-informed care."
number of times trauma-informed care or synonyms are mentioned,BQ_LEGAL_-_Planning_and_Decision-Making_Process_LEGAL.pdf,The trauma-informed care policy required under Education Code 38.036.
total number of health or treatment terms mentioned,BQ_LEGAL_-_Planning_and_Decision-Making_Process_LEGAL.pdf,"Education Code 37.0832(d)(2) [See FFI] The practices and procedures developed under Education Code 38.351(i) or (i-1) (mental health promotion and intervention, sub- stance abuse prevention and intervention, and suicide prevention) must be included in the district improvement plan."
total number of health or treatment terms mentioned,CKEA_LEGAL_-_Security_Personnel_Commissioned_Peace_Officers_LEGAL.pdf,"For information on mental health leave, quarantine leave, and line of duty leave for peace officers, see DEC. Any peace officer commissioned by the board must meet all mini- mum standards for peace officers established by the Texas Com- mission on Law Enforcement (TCOLE)."
number of time transfer or referral to disciplinary alternative school is mentioned,CKEA_LEGAL_-_Security_Personnel_Commissioned_Peace_Officers_LEGAL.pdf,"If the Texas Facilities Commission determines that the state’s ef- forts to secure its international border and combat transnational crime will sufficiently benefit from the donation of the surplus motor vehicles and other law enforcement equipment of the Department of Public Safety to a school district located in an economically dis- advantaged area of this state, it may transfer the property to the district at a price or for other consideration agreed to by the com- mission and the district."
number of times arrest or synonyms are mentioned,CKEA_LEGAL_-_Security_Personnel_Commissioned_Peace_Officers_LEGAL.pdf,"Occupations Code 2B.0101(1), .0106, .0107 A law enforcement agency may not release any portion of a recording made in a private space, or of a recording involving the investigation of conduct that constitutes a misdemeanor punishable by fine only and does not result in arrest, without written authoriza- tion from the person who is the subject of that portion of the record- ing or, if the person is deceased, from the person’s authorized rep- resentative."
total number of drug or alcohol terms mentioned,CKEA_LEGAL_-_Security_Personnel_Commissioned_Peace_Officers_LEGAL.pdf,The mental health crisis or substance abuse issue is sus- pected to be the reason the person committed the alleged of- fense.
total number of drug or alcohol terms mentioned,CKEA_LEGAL_-_Security_Personnel_Commissioned_Peace_Officers_LEGAL.pdf,"An epinephrine delivery system is a medical delivery device ap- proved by the United States Food and Drug Administration that de- livers a dose of epinephrine intended for use to treat anaphylaxis, including an epinephrine auto-injector and an epinephrine nasal spray."
total number of disciplinary terms mentioned,CKEA_LEGAL_-_Security_Personnel_Commissioned_Peace_Officers_LEGAL.pdf,Disciplinary action may not be taken against the officer unless a copy of the signed complaint is given to the officer.
total number of drug or alcohol terms mentioned,DBAA_LEGAL_-_Employment_Requirements_and_Restrictions_Pre-Employment_Reviews_LEGAL.pdf,Education Code 22A.152-.153 The U.S. Department of Transportation (DOT) operates and main- tains a national clearinghouse for records relating to alcohol and controlled substances testing of commercial motor vehicle operators in order to improve compliance with DOT's alcohol and controlled substances testing program applicable to commercial motor vehicle operators [see DHE] and to enhance the safety of roadways by reducing accidents and injuries involving the misuse of alcohol or use of controlled substances by operators of commer- cial motor vehicles.
total number of drug or alcohol terms mentioned,DBAA_LEGAL_-_Employment_Requirements_and_Restrictions_Pre-Employment_Reviews_LEGAL.pdf,31306a A district must not employ a driver subject to controlled substances and alcohol testing under 49 C.F.R.
total number of drug or alcohol terms mentioned,DBAA_LEGAL_-_Employment_Requirements_and_Restrictions_Pre-Employment_Reviews_LEGAL.pdf,Part 382 to perform a safety- sensitive function without first conducting a pre-employment query of the federal Drug and Alcohol Clearinghouse to obtain informa- tion about the driver’s previous test results.
total number of drug or alcohol terms mentioned,DBAA_LEGAL_-_Employment_Requirements_and_Restrictions_Pre-Employment_Reviews_LEGAL.pdf,A district must conduct a query of the federal Drug and Alcohol Clearinghouse at least once per year for information for all employ- ees subject to controlled substance and alcohol testing under 49 C.F.R.
total number of drug or alcohol terms mentioned,DECA_LEGAL_-_Leaves_and_Absences_Family_and_Medical_Leave_LEGAL.pdf,"825.112 For provisions regarding treatment for substance abuse, see 29 C.F.R."
number of time transfer or referral to disciplinary alternative school is mentioned,DECA_LEGAL_-_Leaves_and_Absences_Family_and_Medical_Leave_LEGAL.pdf,"825.102, .202 If an employee requests intermittent or reduced schedule leave that is foreseeable based on planned medical treatment, a district may require the employee to transfer temporarily to an available al- ternative position for which the employee is qualified and which better accommodates recurring periods of leave than does the em- ployee's regular position."
number of time transfer or referral to disciplinary alternative school is mentioned,DECA_LEGAL_-_Leaves_and_Absences_Family_and_Medical_Leave_LEGAL.pdf,"825.600 If an instructional employee does not give required notice of fore- seeable leave to be taken intermittently or on a reduced schedule, a district may require the employee to take leave of a particular du- ration or to transfer temporarily to an alternative position."
number of time transfer or referral to disciplinary alternative school is mentioned,DECA_LEGAL_-_Leaves_and_Absences_Family_and_Medical_Leave_LEGAL.pdf,"To transfer temporarily to an available alternative position for which the employee is qualified, which has equivalent pay and benefits and which better accommodates recurring peri- ods of leave than does the employee's regular position."
total number of drug or alcohol terms mentioned,DFBB_LOCAL_-_Term_Contracts_Nonrenewal_LOCAL.pdf,"Drunkenness or excessive use of alcoholic beverages; or possession, use, or being under the influence of alcohol or al- coholic beverages while on District property, while working in the scope of the employee’s duties, or while attending any school- or District-sponsored activity."
total number of drug or alcohol terms mentioned,DFBB_LOCAL_-_Term_Contracts_Nonrenewal_LOCAL.pdf,"The illegal possession, use, manufacture, or distribution of a controlled substance, a drug, a dangerous drug, hallucino- gens, or other substances regulated by state statutes."
total number of drug or alcohol terms mentioned,DGBA_LEGAL_-_Personnel-Management_Relations_Employee_Complaints_Grievances_LEGAL.pdf,"Education Code 11.171(a), (c) A district’s grievance policy must permit an employee who reports a grievance to make an audio recording of any meeting or pro- ceeding at which the substance of a grievance that complies with the policy is investigated or discussed."
number of times suspension or synonyms are mentioned,DGBA_LEGAL_-_Personnel-Management_Relations_Employee_Complaints_Grievances_LEGAL.pdf,"19 TAC 157.1073(d) Before bringing suit, an employee who seeks relief under Govern- ment Code Chapter 554 (whistleblowers) must initiate action under a district’s grievance or appeal procedures relating to suspension or termination of employment or adverse personnel action."
total number of health or treatment terms mentioned,DGC_LEGAL_-_Employee_Rights_and_Privileges_Immunity_LEGAL.pdf,"“Professional employee of a district” includes a superintendent; principal; teacher, including a substitute teacher or a teacher em- ployed by a company that contracts with a district to provide the teacher’s services to the district; a supervisor; social worker; school counselor; nurse; teacher’s aide; a student in an education preparation program participating in a field experience or intern- ship; a DPS-certified school bus driver, and any other person whose employment requires certification and the exercise of dis- cretion."
total number of drug or alcohol terms mentioned,DGC_LEGAL_-_Employee_Rights_and_Privileges_Immunity_LEGAL.pdf,"Marijuana or a controlled substance, as defined by the Texas Controlled Substances Act."
total number of drug or alcohol terms mentioned,DGC_LEGAL_-_Employee_Rights_and_Privileges_Immunity_LEGAL.pdf,"A dangerous drug, as defined by the Texas Dangerous Drug Act."
total number of disciplinary terms mentioned,DGC_LEGAL_-_Employee_Rights_and_Privileges_Immunity_LEGAL.pdf,Education Code 38.0041 [See DG regarding protection from disciplinary proceedings] A member of an attendance committee is not personally liable for any act or omission arising out of duties as a member of an atten- dance committee.
